drug_key,y_hard,OR,PC1,PC2,kmeans,agglo
ethionamide,1,1,-4.547981889658533,4.662319581189656,1,1
etoposide,1,0,4.859771703077815,-6.180854279892965,0,0
famotidine,1,0,7.277971070687975,-1.6451080866629553,0,0
fenofibrate,1,1,-7.43654547463986,0.08568023817467546,1,1
fluphenazine,0,0,1.6517567085014457,-4.7075049178462045,0,0
flutamide,1,1,-8.594730655952219,3.814228878631277,1,1
gefitinib,1,1,2.4536420013515903,3.827780853884841,0,0
gemfibrozil,1,1,-6.203118171115774,0.05459917937738471,1,1
gentamicin,0,0,6.910361403619175,-1.7395088540730912,0,0
glibenclamide,1,0,1.6543867464352344,-0.13641528965357902,0,0
griseofulvin,1,1,0.5777107810359159,2.988383951525136,0,0
haloperidol,1,0,-1.1196717765399837,0.23885810685957728,0,0
hexachlorobenzene,1,1,2.279486662648096,-1.1966349868370205,0,0
hydroxyzine,0,1,1.9880170599752776,-0.2444801864048395,0,0
ibuprofen,1,1,4.933746207499744,0.8450338757790872,0,0
imatinibmethanesulfonatesalt,1,0,3.7736732898955023,2.5647928774954325,0,0
imipramine,1,1,2.8366651353855152,0.39335881008502604,0,0
indomethacin,1,1,5.279200001272806,3.9647907514915386,0,0
iproniazid,1,1,4.080070846339207,-0.3128142163456219,0,0
isoniazid,1,1,-0.4544809352475078,-5.570422361276334,0,0
ketoconazole,1,1,-0.03133532308416953,-2.0330759497741853,0,0
labetalol,1,0,1.1419360020737699,-3.2275806098561635,0,0
lomustine,1,1,6.113441797881158,4.308843208309167,0,0
mefenamicacid,1,1,8.210293714127726,3.1256635133394055,0,0
meloxicam,1,1,7.802940679911677,4.163578086814926,0,0
metformin,1,1,2.6969763577820633,3.9882717940254815,0,0
methimazole,1,1,-5.396527922884634,1.90917853474812,1,1
methyldopa,1,0,1.393117986236137,-3.2701394899767107,0,0
methyltestosterone,1,1,-4.486636456102275,4.068476986052881,1,1
mexiletine,1,0,1.2360469982815097,-3.1000980055854828,0,0
